SegmentR,635.6818835
PEPR,1210.789397
AgeR,499.3486776
TimeRelationR,1346.474004
IncomeSourceR,450.752813
ActivityR,708.7879091
NationalityR,1598.024224
CommonAddR,845.4518871
ProductTR,389.4620393
SubproductR,636.5953965
OperationTR,705.1783473
MonetaryInstR,719.2494699
DivisaR,638.5838641
ChannelR,542.256959
OperabilitySR,873.2831061
OGoverR,562.9824223
SARR,524.5513758
VMR,395.8590337
VOR,412.7076635
SumSeR,446.2517518
SumReR,479.7886129
RSR,397.8040415
AAR,444.7855284
SendingNumR,612.260806
ReceivingNumR,549.2618568
StateOpeR,509.3557933
StateResR,557.0800012
MunOpeR,1324.321313
MunResR,1367.293682
CountryR,1057.971028
